,id,lat,lon,installed_capacity_kw
0,0,47.70274216752644,8.476378066178093,14.88
1,1,47.60337657945565,8.777377861056841,29.9
2,2,47.380154260181676,8.83636020996817,325.0
3,3,47.277080652504765,7.201550902068712,6.55
4,4,46.81866217573606,7.505896572317818,16.4
5,5,46.81866217573606,7.505896572317818,17.82
6,6,47.329759046268244,8.058364998664436,10.35
7,7,47.329759046268244,8.058364998664436,10.37
8,8,46.24730377446152,6.139933681448094,9.3
9,9,47.69337309518615,8.645592783153004,7.26
10,10,47.292957371691465,8.44660991609077,0.93
11,11,47.265178659719716,7.790964033744321,5.07
12,12,47.06866903744925,8.073569845538383,9.37
13,13,47.23377077601513,7.524200043210893,34.8
14,14,47.23377077601513,7.524200043210893,71.75
15,15,47.23377077601513,7.524200043210893,26.37
16,16,46.906814479004545,8.276502550044372,6.6
17,17,47.227447001351194,9.46109707829659,50.08
18,18,47.227447001351194,9.46109707829659,50.08
19,19,46.07163898422047,7.159441044343485,15.0
20,20,46.17208882090763,6.063185889158534,2.4
21,21,46.62822790640156,6.956039229682314,43.2
22,22,46.62822790640156,6.956039229682314,5.2
23,23,46.62822790640156,6.956039229682314,64.75
24,24,46.96164034258134,7.585299672687986,20.32
25,25,47.29731150275928,7.801250524030476,17.52
26,26,47.44050412132512,8.372493741454042,46.5
27,27,47.30923580806104,9.278339820720813,154.7
28,28,47.30923580806104,9.278339820720813,154.7
29,29,46.171125629170156,7.02619789866683,1199.17
30,30,47.19212795258765,7.978151297521385,305.0
31,31,47.38339628813083,9.555629651667479,81.25
32,32,47.38339628813083,9.555629651667479,57.94
33,33,47.51128084265951,8.464157422841131,9.92
34,34,46.91089572002499,7.110514178383545,5.0
35,35,47.116950153062426,8.007517759545605,670.86
36,36,47.116950153062426,8.007517759545605,670.86
37,37,47.49040599672445,9.55932059044788,73.46
38,38,47.44757992911984,9.161429849559969,96.48
39,39,47.06255918063987,8.308713022072757,11.5
40,40,46.29323613620515,7.785159825951232,4.05
41,41,46.9134966672232,7.123743431850083,11.25
42,42,47.06321293472965,6.913121873512932,4.2
43,43,47.46224652717988,9.558237540945932,7.5
44,44,47.356050332381415,9.591452195288502,29.7
45,45,46.96117960773007,7.524821418173478,6.0
46,46,47.37229618761261,9.32946595340352,47.95
47,47,47.39188005480493,9.460782801651813,25.44
48,48,47.12543741561737,8.744166990589049,5.44
49,49,47.13858851149092,8.192805251617683,39.48
50,50,47.3759086630044,8.354995270577483,7.65
51,51,47.32399587517344,7.413624817230555,17.0
52,52,46.42530590083642,6.2599803235944975,104.89
53,53,46.42530590083642,6.2599803235944975,104.9
54,54,47.518764129472935,7.57081653075305,5.3
55,55,47.29326547874827,8.445320028998871,2.93
56,56,47.126216072292486,7.996294955217954,200.0
57,57,47.18989603767985,8.740013119098483,114.06
58,58,47.18989603767985,8.740013119098483,114.07
59,59,47.13160209828167,8.403105726612504,120.26
60,60,47.13160209828167,8.403105726612504,120.27
61,61,47.1704445509165,8.09526146522403,150.0
62,62,46.905999901704746,8.256026692342894,122.27
63,63,46.905999901704746,8.256026692342894,122.28
64,64,47.45946280264233,8.401288078016494,115.91
65,65,47.45946280264233,8.401288078016494,115.91
66,66,47.35837365738347,8.272410519618273,114.57
67,67,47.35837365738347,8.272410519618273,114.57
68,68,47.34959557613525,8.2584691120605,213.73
69,69,47.34959557613525,8.2584691120605,213.73
70,70,47.262588462055376,8.175739363098643,116.24
71,71,47.262588462055376,8.175739363098643,116.25
72,72,47.424996417692306,7.540288601981491,6.5
73,73,47.12433635595629,8.441696810173836,28.88
74,74,47.12461190227836,9.49707762836506,124.62
75,75,47.12461190227836,9.49707762836506,124.62
76,76,47.44454977042431,9.147381024623748,103.85
77,77,47.44454977042431,9.147381024623748,103.85
78,78,47.38555386683373,8.395714950119624,121.94
79,79,47.38555386683373,8.395714950119624,121.94
80,80,47.39273757100487,8.642345105116952,96.81
81,81,47.39273757100487,8.642345105116952,96.82
82,82,47.35800617908615,8.70791022883893,103.85
83,83,47.35800617908615,8.70791022883893,103.85
84,84,46.52919670702426,9.874707314942796,200.0
85,85,47.175321834660345,8.912384981818514,101.5
86,86,47.175321834660345,8.912384981818514,101.51
87,87,47.38732351257927,9.274095143919682,150.0
88,88,47.29605294768617,9.092638733111386,106.87
89,89,47.29605294768617,9.092638733111386,106.86
90,90,47.44341123122999,9.416828294868306,111.89
91,91,47.44341123122999,9.416828294868306,111.89
92,92,47.36423632558806,9.556351615917722,107.2
93,93,47.36423632558806,9.556351615917722,107.2
94,94,47.40891534275873,9.623643682469384,104.52
95,95,47.40891534275873,9.623643682469384,104.52
96,96,47.46258881143348,9.020785252649466,200.0
97,97,47.41051473356412,9.337688480877906,109.21
98,98,47.41051473356412,9.337688480877906,109.21
99,99,46.95598158334991,9.563906422955574,214.4
100,100,47.4165759735973,9.064772320359408,81.4
101,101,47.4165759735973,9.064772320359408,81.4
102,102,46.549911453801265,6.564618081244605,107.2
103,103,46.570331158895364,6.817273765100921,122.23
104,104,46.570331158895364,6.817273765100921,112.22
105,105,46.26609171024583,6.956039691830638,97.82
106,106,46.26609171024583,6.956039691830638,97.82
107,107,46.51632588114775,6.505652814682483,112.39
108,108,46.51632588114775,6.505652814682483,112.39
109,109,47.19722162729101,7.529249268588131,200.0
110,110,46.71940609616617,6.546112174889851,124.28
111,111,46.71940609616617,6.546112174889851,124.29
112,112,46.688609410172326,7.878048701882928,150.0
113,113,47.216355671634346,7.513268137132253,200.0
114,114,45.841563376427246,8.981856555133723,340.0
